order_id,customer_id,order_date,region,product_id,sales,quantity,discount,shipping_cost,tax,profit,order_status,age,segment,income_level,category,sub_category
ORDER-1,CUST-15,2024-01-01 00:00:00.000000000,West,PROD-16,457.25,5,0.48,20.53,16.74,62.38,Cancelled,46,Consumer,High,Furniture,Chairs
ORDER-2,CUST-62,2024-01-01 12:25:13.513513513,West,PROD-74,131.63,2,0.26,6.35,14.22,98.18,Delivered,66,Consumer,Low,Office Supplies,Paper
ORDER-3,CUST-146,2024-01-02 00:50:27.027027027,North,PROD-87,293.04,1,0.34,48.27,11.6,82.37,Delivered,32,Consumer,Medium,Technology,Accessories
ORDER-4,CUST-21,2024-01-02 13:15:40.540540540,North,PROD-70,91.1,8,0.16,35.05,10.6,21.11,Delivered,33,Corporate,Medium,Technology,Phones
ORDER-5,CUST-22,2024-01-03 01:40:54.054054054,South,PROD-49,26.6,2,0.39,46.99,6.81,111.77,Shipped,58,Consumer,Low,Furniture,Tables
ORDER-6,CUST-188,2024-01-03 14:06:07.567567567,South,PROD-51,162.62,7,0.39,16.95,15.06,8.94,Shipped,62,Corporate,Low,Furniture,Chairs
ORDER-7,CUST-125,2024-01-04 02:31:21.081081081,East,PROD-45,392.44,9,0.26,32.52,3.86,64.24,Cancelled,63,Consumer,Medium,Furniture,Bookcases
ORDER-8,CUST-18,2024-01-04 14:56:34.594594594,North,PROD-99,146.02,9,0.49,35.53,1.35,99.08,Delivered,35,Corporate,Medium,Technology,Copiers
ORDER-9,CUST-195,2024-01-05 03:21:48.108108108,West,PROD-19,117.85,8,0.06,19.29,19.01,25.79,Delivered,20,Consumer,Medium,Technology,Accessories
ORDER-10,CUST-137,2024-01-05 15:47:01.621621621,North,PROD-38,114.21,9,0.01,43.16,7.96,10.55,Shipped,39,Corporate,Low,Furniture,Tables
ORDER-11,CUST-197,2024-01-06 04:12:15.135135135,South,PROD-6,262.44,2,0.39,47.62,19.03,41.87,Pending,43,Corporate,Low,Office Supplies,Paper
ORDER-12,CUST-33,2024-01-06 16:37:28.648648648,North,PROD-37,488.02,6,0.4,44.82,5.92,113.59,Pending,20,Consumer,Low,Technology,Copiers
